Account,Total_PnL,Avg_Daily_PnL,Daily_PnL_StdDev,Total_Trades,Avg_Trade_Size,Total_Volume,Total_Buys,Win_Rate,Total_Shorts,Long_Short_Ratio,Max_Daily_Loss
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,66676.242499125,150401.79734551374,3818,33569.102223713766,61697263.970000006,1711,0.6666666666666666,2107,0.8116698292220114,-175611.00005600002
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,920.8715483461539,3603.0422910248762,7280,4359.8309302466505,12035487.66,3055,0.5576923076923077,4225,0.7229058211074302,-12346.990829
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-5869.682609833333,33420.410013838264,3809,11057.118418553686,33873440.42,1566,0.6666666666666666,2243,0.6978609625668449,-108176.9187
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,817.6840404567902,2993.2847018942703,13311,484.8442941619222,6757022.1,6699,0.8888888888888888,6612,1.013004687736277,-19833.530157
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,2444.3189129565217,4867.743468797182,3239,2553.7570373757217,10166880.2,1179,0.782608695652174,2060,0.5720524017467249,-3323.090682
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-725.6651159534885,10110.280939662283,815,1613.2556722621034,1409902.0,182,0.32558139534883723,633,0.2870662460567823,-58444.949486
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336,314.2808551304348,14586.482779999604,3589,28188.549085190585,17193375.42,1648,0.5434782608695652,1941,0.8486096807415036,-77308.420095
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243000005,1910.5802586785717,5774.468515461302,332,9812.51560528366,1143896.46,170,0.5357142857142857,162,1.0429447852760736,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,9975.2796366,20797.39604487325,383,8334.762260556681,1987527.6099999999,101,0.5,282,0.3568904593639576,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,14876.49544075,32725.08326015729,1237,2525.945975144083,2966109.22,302,0.25,935,0.32264957264957267,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,717.6646955625,2484.2443189649503,8519,516.6442989710463,4408828.9,4076,0.8194444444444444,4443,0.9171917191719172,-6745.027414
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,11685.293976603449,25344.268484609507,4356,16024.724760769133,39572949.25,2115,0.6724137931034483,2241,0.9433541480820696,-2427.873799
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,962.5416502056074,7430.255413150263,7584,16038.456425115373,129672529.28,4172,0.6043613707165109,3412,1.2223849985350133,-108604.496278
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,21549.296287589743,42171.74469920306,12236,27603.84521556422,420876556.36,6368,0.5641025641025641,5868,1.085023002215028,-37999.868086
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,2313.4301440851063,7470.04650016332,975,867.1703611532234,728057.51,363,0.574468085106383,612,0.5921696574225123,-89.1781
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,22597.66136394737,80215.01097553849,1590,9367.295108536868,11474500.92,598,0.21052631578947367,992,0.6022155085599195,-42923.271911
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,6106.2349115,23666.254071589716,1430,4840.92212840505,3051144.33,639,0.25757575757575757,791,0.8068181818181818,-9046.14
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,2596.5438815821917,4762.374293945578,9893,3354.2092903010684,25729497.24,4929,0.910958904109589,4964,0.992749244712991,-22303.603584
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,573.0939633461538,873.4108109517282,1559,6760.1144210194525,5844484.45,691,0.6153846153846154,868,0.7951668584579977,-869.145978
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-1821.9687476195652,38190.08942383133,4601,2782.687344213111,10143758.13,2262,0.42391304347826086,2339,0.9666666666666667,-358963.139984
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,1213.215887148148,5511.299034566663,1911,5475.174210575846,11999173.370000001,1155,0.3888888888888889,756,1.5257595772787318,-4968.487948
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,252.3966033103448,3367.9125184012946,14998,839.021370213006,12304786.84,6964,0.7586206896551724,8034,0.8667081518357187,-27087.802198
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,7032.163451888889,15642.867721081608,3052,12481.488695021257,10992355.74,2104,0.3888888888888889,948,2.2170706006322445,-621.54506
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,1660.982425875,2678.372530919574,15605,1273.0527781456335,19868207.98,9983,0.71875,5622,1.7753868041970478,-6194.283149
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,1968.8238992432432,7523.577871362993,417,2007.3297785771122,861809.4,156,0.43243243243243246,261,0.5954198473282443,-14176.51042
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,4523.0413020666665,8542.12051178745,563,2959.4760618012087,1677425.7200000002,332,0.4666666666666667,231,1.4310344827586208,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,1087.94158765,2029.2695425579955,534,18919.354152424097,4448323.26,304,0.55,230,1.316017316017316,-1646.3529
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,8372.588272222656,39920.90858902897,14733,4495.49655852293,56543565.23,6703,0.484375,8030,0.8346407670277673,-8394.889856
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,642.5285948857144,12369.710508123975,4838,26246.518331080708,108877041.1,2368,0.7714285714285715,2470,0.9583164710643464,-57956.282957999996
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,33577.27879357143,74757.66101524414,21192,4528.364242699367,68036340.24,11195,0.7857142857142857,9997,1.1197239447889578,-0.06076
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.06185300002,3291.32928138806,30273.449507840578,2641,10511.08274482338,20737391.71,1193,0.26865671641791045,1448,0.8233264320220842,-113601.02013799999
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,6382.294298297709,25629.432631190368,40184,1760.5388452412292,74107810.44,17413,0.8015267175572519,22771,0.7646671350781662,-76194.26162399999
